GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE232333	GSM7328760	tissue_field	cell.line	HT1080
GSE232333	GSM7328760	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328761	control_term	genotype	WT
GSE232333	GSM7328761	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328761	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328761	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328761	tissue_field	source_name_ch1	HT1080
GSE232333	GSM7328761	tissue_field	cell.line	HT1080
GSE232333	GSM7328761	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328762	control_term	genotype	WT
GSE232333	GSM7328762	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328762	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328762	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328762	tissue_field	source_name_ch1	HT1080
GSE232333	GSM7328762	tissue_field	cell.line	HT1080
GSE232333	GSM7328762	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328763	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328763	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328763	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328763	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328763	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328763	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328764	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328764	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328764	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328764	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328764	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328764	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328765	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328765	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328765	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328765	tissue_field	source_name_ch1	HT1080_SMG7KO_11
GSE232333	GSM7328765	tissue_field	cell.line	HT1080_SMG7KO_11
GSE232333	GSM7328765	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328766	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328766	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328766	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328766	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328766	tissue_field	cell.line	HT1080_SMG7KO_12
GSE232333	GSM7328766	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328767	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328767	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328767	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328767	tissue_field	source_name_ch1	HT1080_SMG7KO_12
GSE232333	GSM7328767	tissue_field	cell.line	HT1080_SMG7KO_12
